date,VesselClass,VesselCount,Dispersion
27/11/2016,Capesize,641,6159.526965
27/11/2016,VLOC,104,5632.785599
28/11/2016,Capesize,636,6039.040417
28/11/2016,VLOC,103,5760.009379
29/11/2016,Capesize,638,6052.260397
29/11/2016,VLOC,103,5827.311833
30/11/2016,Capesize,644,6036.655173
30/11/2016,VLOC,101,5943.503396
01/12/2016,Capesize,634,6036.083013
01/12/2016,VLOC,100,5807.279643
02/12/2016,Capesize,638,6081.035838
02/12/2016,VLOC,100,5843.229691
03/12/2016,Capesize,638,6070.058088
03/12/2016,VLOC,97,5863.449133
04/12/2016,Capesize,636,6179.966183
04/12/2016,VLOC,99,5855.711735
05/12/2016,Capesize,628,6268.883951
05/12/2016,VLOC,95,5822.343046
06/12/2016,Capesize,623,6234.841547
06/12/2016,VLOC,99,5975.356133
07/12/2016,Capesize,622,6218.421758
07/12/2016,VLOC,98,5979.495649
08/12/2016,Capesize,632,6314.099279
08/12/2016,VLOC,98,5990.020996
09/12/2016,Capesize,646,6297.100695
09/12/2016,VLOC,96,6059.519607
10/12/2016,Capesize,647,6339.268604
10/12/2016,VLOC,97,6186.51364
11/12/2016,Capesize,638,6222.986872
11/12/2016,VLOC,95,6084.013824
12/12/2016,Capesize,627,6264.643316
12/12/2016,VLOC,97,6044.767656
13/12/2016,Capesize,630,6283.601559
